web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624494-2773","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=428","birth place: amman, jordan (map)","arabic","other language(s): hebrew","age, sex: 47, male","age of english onset: 11","english learning method: naturalistic","english residence: usa","length of english residence: 25 years","/soundtracks/arabic14.mp3","arabic14"
"1676624497-2774","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=427","birth place: st. thomas, us virgin islands (map)","english","other language(s): french","age, sex: 21, male","age of english onset: 0","english learning method: naturalistic","english residence: us virgin islands","length of english residence: 21 years","/soundtracks/english112.mp3","english112"
"1676624499-2775","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=426","birth place: bombay, india (map)","english","other language(s): hindi-urdu french","age, sex: 21, male","age of english onset: 0","english learning method: naturalistic","english residence: india, usa","length of english residence: 4 years","/soundtracks/english111.mp3","english111"
"1676624502-2776","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=425","birth place: jammu, kashmir, india (map)","pahari","other language(s): punjabi urdu hindi-urdu","age, sex: 25, male","age of english onset: 5","english learning method: academic","english residence: uk","length of english residence: 1 years","/soundtracks/pahari1.mp3","pahari1"
"1676624504-2777","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=424","birth place: karachi, pakistan (map)","sindhi","other language(s): urdu punjabi turkish","age, sex: 26, male","age of english onset: 8","english learning method: academic","english residence: uk","length of english residence: 1.5 years","/soundtracks/sindhi1.mp3","sindhi1"
"1676624507-2778","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=423","birth place: karachi, sind, pakistan (map)","urdu","other language(s): gujarati sindhi","age, sex: 25, male","age of english onset: 3","english learning method: academic","english residence: canada","length of english residence: 2 years","/soundtracks/urdu3.mp3","urdu3"
"1676624509-2779","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=422","birth place: reykjavik, iceland (map)","icelandic","other language(s): danish german","age, sex: 21, male","age of english onset: 11","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/icelandic1.mp3","icelandic1"
"1676624512-2780","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=421","birth place: great yarmouth, norfolk, uk (map)","english","other language(s): japanese","age, sex: 21, male","age of english onset: 0","english learning method: naturalistic","english residence: uk","length of english residence: 0 years","/soundtracks/english110.mp3","english110"
"1676624514-2781","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=420","birth place: concord, new hampshire, usa (map)","english","other language(s): irish","age, sex: 26, female","age of english onset: 0","english learning method: naturalistic","english residence: usa","length of english residence: 26 years","/soundtracks/english109.mp3","english109"
"1676624517-2782","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=419","birth place: strabane, northern ireland, uk (map)","english","other language(s): dutch french german spanish","age, sex: 21, male","age of english onset: 0","english learning method: naturalistic","english residence: uk","length of english residence: 21.5 years","/soundtracks/english108.mp3","english108"
